latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.424,-77.875,323.7,1.7,1.3,2020-03-22,1615,T,61,6.0NRT,302.9,28,D
22.292,-83.68,322.5,1,1,2020-03-22,1615,T,57,6.0NRT,305.9,7.1,D
21.097,-77.726,316.5,1.8,1.3,2020-03-22,1615,T,59,6.0NRT,299.2,22.3,D
21.006,-78.13,313.6,1.6,1.3,2020-03-22,1615,T,49,6.0NRT,297.2,10.2,D
20.713,-76.624,326.9,2.1,1.4,2020-03-22,1615,T,70,6.0NRT,297.7,51.2,D
20.89,-77.606,320.2,1.8,1.3,2020-03-22,1615,T,58,6.0NRT,300.4,23.5,D
20.887,-77.589,336.3,1.8,1.3,2020-03-22,1615,T,88,6.0NRT,301.6,70,D
20.71,-76.61,318.1,2.1,1.4,2020-03-22,1615,T,50,6.0NRT,301.1,25.5,D
20.876,-77.592,319.1,1.8,1.3,2020-03-22,1615,T,38,6.0NRT,300.7,21.5,D
20.556,-75.932,323.9,2.4,1.5,2020-03-22,1615,T,73,6.0NRT,299,47.3,D
20.543,-75.935,322.3,2.4,1.5,2020-03-22,1615,T,75,6.0NRT,298.5,40.5,D
21.728,-83.026,345.5,1,1,2020-03-22,1615,T,88,6.0NRT,306.3,40.6,D
21.726,-83.017,340.9,1,1,2020-03-22,1615,T,90,6.0NRT,308.5,32.8,D
20.355,-76.974,328,2.1,1.4,2020-03-22,1615,T,80,6.0NRT,305.1,36.9,D
20.167,-77.025,321.9,2.1,1.4,2020-03-22,1615,T,72,6.0NRT,305.9,19.9,D
20.165,-77.031,322.3,2.1,1.4,2020-03-22,1615,T,49,6.0NRT,306.2,18.5,D
20.158,-77.343,333.3,1.9,1.4,2020-03-22,1615,T,85,6.0NRT,308.8,51.3,D
20.149,-77.363,324,1.9,1.4,2020-03-22,1615,T,69,6.0NRT,306.7,24.1,D
20.146,-77.345,374.5,1.9,1.4,2020-03-22,1615,T,100,6.0NRT,308.1,316,D
20.023,-77.55,325.9,1.9,1.3,2020-03-22,1615,T,75,6.0NRT,305.2,34.3,D
20.983,-89.394,320.4,2,1.4,2020-03-22,1615,T,66,6.0NRT,306,18.8,D
20.047,-89.538,321.5,2,1.4,2020-03-22,1615,T,71,6.0NRT,304.5,24.6,D
19.605,-90.351,318.3,2.2,1.5,2020-03-22,1615,T,49,6.0NRT,301.6,21.2,D
19.607,-90.358,320.3,2.2,1.5,2020-03-22,1615,T,69,6.0NRT,302.2,29.7,D
19.215,-89.329,321.1,1.9,1.3,2020-03-22,1615,T,71,6.0NRT,302,23.9,D
19.245,-89.692,341.9,2,1.4,2020-03-22,1615,T,90,6.0NRT,299.6,101.4,D
19.243,-89.674,340,2,1.4,2020-03-22,1615,T,89,6.0NRT,300,92.2,D
40.082,-75.923,303.6,1.1,1,2020-03-22,1610,T,56,6.0NRT,284.9,6.8,D
31.716,-84.054,310.6,1.3,1.1,2020-03-22,1610,T,69,6.0NRT,286,9.3,D
30.871,-83.641,310.8,1.2,1.1,2020-03-22,1610,T,45,6.0NRT,290.9,6.9,D
26.727,-77.398,321.8,1.4,1.2,2020-03-22,1610,T,65,6.0NRT,302.6,17.5,D
26.724,-77.384,328.4,1.4,1.2,2020-03-22,1610,T,77,6.0NRT,303.5,29.9,D
26.613,-78.445,332.8,1.3,1.1,2020-03-22,1610,T,85,6.0NRT,303.4,29.9,D
26.611,-78.432,338.2,1.3,1.1,2020-03-22,1610,T,89,6.0NRT,303.8,40.3,D
26.611,-78.439,339.4,1.3,1.1,2020-03-22,1610,T,78,6.0NRT,304.6,44.3,D
26.447,-80.743,325.5,1,1,2020-03-22,1610,T,39,6.0NRT,308,12.9,D
23.113,-81.339,330.5,1,1,2020-03-22,1610,T,83,6.0NRT,304.4,18.3,D
22.865,-80.315,315.3,1.1,1.1,2020-03-22,1610,T,43,6.0NRT,299.7,7.4,D
23.134,-82.315,323.9,1,1,2020-03-22,1610,T,49,6.0NRT,305.2,12.1,D
22.916,-81.79,321.3,1,1,2020-03-22,1610,T,43,6.0NRT,303.1,9,D
22.834,-81.679,328.7,1,1,2020-03-22,1610,T,72,6.0NRT,307.4,19.8,D
22.765,-81.24,349,1.1,1,2020-03-22,1610,T,94,6.0NRT,307.5,52.9,D
22.764,-81.229,330.6,1.1,1,2020-03-22,1610,T,67,6.0NRT,309.8,19.9,D
22.639,-80.687,330.9,1.1,1,2020-03-22,1610,T,82,6.0NRT,302.1,25.7,D
22.632,-80.683,321.5,1.1,1.1,2020-03-22,1610,T,44,6.0NRT,305.5,13.6,D
22.633,-81.165,324.1,1.1,1,2020-03-22,1610,T,52,6.0NRT,305.5,14.4,D
22.701,-81.836,325.7,1,1,2020-03-22,1610,T,56,6.0NRT,302.9,15.4,D
44.91,-96.412,303.8,1.3,1.1,2020-03-22,1745,T,0,6.0NRT,266.9,12.8,D
45.766,-107.615,328.4,1.6,1.3,2020-03-22,1745,T,74,6.0NRT,278.3,54.7,D
40.384,-109.328,316.7,1.7,1.3,2020-03-22,1745,T,73,6.0NRT,288.2,28.9,D
36.747,-99.965,311.8,1.3,1.1,2020-03-22,1745,T,62,6.0NRT,293.9,10.3,D
36.745,-99.951,308.6,1.3,1.1,2020-03-22,1745,T,50,6.0NRT,293.7,7.1,D
35.641,-102.861,304,1,1,2020-03-22,1750,T,42,6.0NRT,284.5,4.5,D
24.985,-107.565,320.7,1,1,2020-03-22,1750,T,38,6.0NRT,308.8,6,D
20.696,-100.003,322.9,2.7,1.6,2020-03-22,1750,T,37,6.0NRT,305.9,30.9,D
20.691,-100.011,334.9,2.7,1.6,2020-03-22,1750,T,84,6.0NRT,304.6,96.5,D
20.686,-99.985,324.6,2.7,1.6,2020-03-22,1750,T,71,6.0NRT,305.6,40,D
20.432,-99.16,316.1,3.2,1.7,2020-03-22,1750,T,37,6.0NRT,300.5,29.9,D
20.843,-102.581,326.3,1.7,1.3,2020-03-22,1750,T,72,6.0NRT,308.3,20.4,D
20.58,-101.167,323.3,2.2,1.4,2020-03-22,1750,T,54,6.0NRT,305.7,25.3,D
21.059,-104.762,324.8,1.2,1.1,2020-03-22,1750,T,64,6.0NRT,309.6,11.8,D
20.234,-102.155,325.7,1.9,1.4,2020-03-22,1750,T,63,6.0NRT,307,21.1,D
19.498,-104.533,336.6,1.4,1.2,2020-03-22,1750,T,86,6.0NRT,302.9,40.5,D
19.492,-104.541,328.5,1.4,1.2,2020-03-22,1750,T,76,6.0NRT,302.5,25.6,D
18.685,-100.791,333,2.6,1.5,2020-03-22,1750,T,81,6.0NRT,305,67.9,D
46.029,-116.336,303.9,2.1,1.4,2020-03-22,1925,T,41,6.0NRT,289.4,11.5,D
46.023,-116.31,306.8,2.1,1.4,2020-03-22,1925,T,64,6.0NRT,291,15.6,D
46.226,-119.318,314,1.5,1.2,2020-03-22,1925,T,74,6.0NRT,297.8,15.2,D
46.222,-119.299,315.9,1.5,1.2,2020-03-22,1925,T,76,6.0NRT,295,18.9,D
46.22,-119.306,316.2,1.5,1.2,2020-03-22,1925,T,60,6.0NRT,297.3,17.4,D
44.041,-117.279,309.3,2.2,1.4,2020-03-22,1925,T,68,6.0NRT,296.6,13.1,D
45.078,-122.902,303.9,1.1,1.1,2020-03-22,1925,T,57,6.0NRT,291.5,5.2,D
44.563,-120.377,349.7,1.4,1.2,2020-03-22,1925,T,96,6.0NRT,290.4,103.1,D
44.56,-120.36,365.9,1.5,1.2,2020-03-22,1925,T,100,6.0NRT,292.2,175.2,D
44.556,-120.342,307.5,1.5,1.2,2020-03-22,1925,T,39,6.0NRT,292.8,9.9,D
44.55,-120.365,310.4,1.5,1.2,2020-03-22,1925,T,59,6.0NRT,289.3,14.4,D
39.283,-121.478,306.6,1.7,1.3,2020-03-22,1925,T,64,6.0NRT,293.7,10.2,D
40.702,-73.779,305.3,1.2,1.1,2020-03-22,1750,A,57,6.0NRT,291.2,5.2,D
40.519,-76.012,302.3,1.5,1.2,2020-03-22,1750,A,52,6.0NRT,286.6,7.2,D
40.515,-76.029,302.1,1.5,1.2,2020-03-22,1750,A,51,6.0NRT,287.6,7.4,D
41.295,-75.759,302,1.4,1.2,2020-03-22,1750,A,6,6.0NRT,288,6.3,D
41.899,-72.798,300.1,1,1,2020-03-22,1750,A,23,6.0NRT,284.6,4.7,D
41.908,-72.801,304.8,1,1,2020-03-22,1750,A,60,6.0NRT,283.6,7.9,D
42.067,-72.75,300.2,1,1,2020-03-22,1750,A,31,6.0NRT,284.6,5.4,D
44.028,-73.315,300.4,1,1,2020-03-22,1750,A,37,6.0NRT,281.7,6.1,D
26.602,-78.456,315.7,4.6,2,2020-03-22,1745,A,42,6.0NRT,297,57.5,D
26.602,-78.459,315,4.6,2,2020-03-22,1745,A,47,6.0NRT,297,58.1,D
